ID,Start time,Completion time,Email,Name,Last modified time,"What is your gender identity?
","Which races or ethnicities best describe you?
","Which of these other identities also describe you?
",What is your major/grad program?,"What year are you?
",UCSD Basic Needs Hub,Triton Food Pantry (TFP),Food Recovery Network (FRN),UCSD Calfresh Team,Triton Food Pantry (TFP)2,Food Recovery Network (FRN)2,UCSD Calfresh Team2,"Have you applied for Calfresh benefits? (Calfresh may also be known as EBT or Food Stamps)
",Were you approved for Calfresh benefits?,"Did you get assistance from the UCSD Calfresh Team when applying?
",Is there any other feedback on Basic Needs services you would like to share?
30,2/15/24 12:23:19,2/15/24 12:24:05,anonymous,,,Man,Asian;,,Computer Science and Engineering,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,This service did not reduce my food insecurity.,I've never used this service.,No,,,
31,2/15/24 12:23:28,2/15/24 12:24:25,anonymous,,,Woman,White;,,Computer Science and Engineering,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
32,2/15/24 12:25:27,2/15/24 12:27:39,anonymous,,,Woman,Asian;Hispanic or Latino;White;,,Computer Science and Engineering,1st year,I have heard of this service and used it.,I have heard of this service and used it.,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I was not food insecure when I used this service.,I've never used this service.,I've never used this service.,No,,,
33,2/15/24 12:30:06,2/15/24 12:31:10,anonymous,,,Woman,Asian;,First Generation Student;,Computer Science and Engineering,2nd year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
34,2/15/24 12:26:09,2/15/24 12:33:30,anonymous,,,Woman,White;,,Political Science,3rd year ,"I have heard of this service, but never used it.",I have heard of this service and used it.,"I have heard of this service, but never used it.",I have heard of this service and used it.,I was not food insecure when I used this service.,I've never used this service.,I was not food insecure when I used this service.,Yes,Yes,No,
35,2/15/24 12:41:10,2/15/24 12:42:08,anonymous,,,Non-binary,Asian;White;,,Cognitive Science,Graduate Student,I have heard of this service and used it.,I have heard of this service and used it.,I have heard of this service and used it.,"I have heard of this service, but never used it.",I was not food insecure when I used this service.,I was not food insecure when I used this service.,I've never used this service.,No,,,
36,2/15/24 13:03:52,2/15/24 13:05:09,anonymous,,,Woman,Black or African American;,First Generation Student;Transfer Student;,Computer Science and Engineering,4th year,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
37,2/15/24 13:04:54,2/15/24 13:05:50,anonymous,,,Woman,Asian;,,Engineering,3rd year ,I've never heard of this service.,"I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
38,2/15/24 13:07:21,2/15/24 13:08:40,anonymous,,,Man,Asian;White;,First Generation Student;,Mathematics,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I have heard of this service and used it.,"I have heard of this service, but never used it.",I've never used this service.,I was not food insecure when I used this service.,I've never used this service.,No,,,
39,2/15/24 13:13:06,2/15/24 13:13:43,anonymous,,,Woman,Asian;,First Generation Student;LGBTQIA+;,Cognitive Science,3rd year ,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,Yes,Yes,No,
40,2/15/24 13:16:07,2/15/24 13:16:54,anonymous,,,Woman,Asian;,LGBTQIA+;,Psychology,4th year,"I have heard of this service, but never used it.",I have heard of this service and used it.,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I was not food insecure when I used this service.,I've never used this service.,I've never used this service.,No,,,No
41,2/15/24 13:16:43,2/15/24 13:17:41,anonymous,,,Woman,Asian;,International Student;,Psychology,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
42,2/15/24 13:30:00,2/15/24 13:37:58,anonymous,,,Woman,Hispanic or Latino;American Indian or Alaskan Native;,Transfer Student;First Generation Student;,Data Science,3rd year ,"I have heard of this service, but never used it.",I have heard of this service and used it.,I have heard of this service and used it.,I've never heard of this service.,This service somewhat reduced my food insecurity.,This service greatly reduced my food insecurity.,I've never used this service.,No,,,
43,2/15/24 13:39:05,2/15/24 13:39:46,anonymous,,,Man,Asian;,International Student;,Computer Science and Engineering,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
44,2/15/24 13:42:01,2/15/24 13:43:14,anonymous,,,Woman,White;,,Biological Sciences,2nd year,"I have heard of this service, but never used it.",I have heard of this service and used it.,I've never heard of this service.,I've never heard of this service.,I was not food insecure when I used this service.,I've never used this service.,I've never used this service.,No,,,
45,2/15/24 13:44:20,2/15/24 13:45:13,anonymous,,,Man,White;,,Electrical and Computer Engineering,3rd year ,I've never heard of this service.,"I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
46,2/15/24 14:10:45,2/15/24 14:12:22,anonymous,,,Woman,Asian;,First Generation Student;,Cognitive Science,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,Yes,Yes,No,
47,2/15/24 14:17:38,2/15/24 14:18:11,anonymous,,,Man,Asian;,International Student;,Bioengineering,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
48,2/15/24 14:18:06,2/15/24 14:19:13,anonymous,,,Man,Asian;,First Generation Student;,Computer Science and Engineering,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
49,2/15/24 14:22:46,2/15/24 14:24:23,anonymous,,,Woman,Asian;,Transfer Student;,International Studies,4th year,"I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
50,2/15/24 14:32:08,2/15/24 14:33:19,anonymous,,,Man,Other;,,Economics,4th year,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
51,2/15/24 14:40:16,2/15/24 14:41:09,anonymous,,,Woman,Asian;,First Generation Student;,Mathematics,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
52,2/15/24 14:46:29,2/15/24 14:47:46,anonymous,,,Woman,Asian;,International Student;,Physics,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
53,2/15/24 14:47:38,2/15/24 14:48:18,anonymous,,,Woman,Asian;,LGBTQIA+;,Data Science,Graduate Student,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
54,2/15/24 15:00:04,2/15/24 15:00:54,anonymous,,,Woman,Asian;,Transfer Student;,International Studies,Graduate Student,"I have heard of this service, but never used it.",,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
55,2/15/24 15:01:22,2/15/24 15:02:24,anonymous,,,Man,Asian;,Transfer Student;,Religion,Graduate Student,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
56,2/15/24 15:08:43,2/15/24 15:10:13,anonymous,,,Man,Asian;,Transfer Student;,Other,4th year,"I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
57,2/15/24 15:13:18,2/15/24 15:14:51,anonymous,,,Man,Asian;,Transfer Student;International Student;First Generation Student;,Computer Science and Engineering,4th year,I've never heard of this service.,I have heard of this service and used it.,"I have heard of this service, but never used it.",I've never heard of this service.,This service somewhat reduced my food insecurity.,I've never used this service.,I've never used this service.,No,,,
58,2/15/24 14:02:46,2/15/24 15:16:07,anonymous,,,Man,Asian;,Transfer Student;,Cognitive Science,4th year,I have heard of this service and used it.,I have heard of this service and used it.,I've never heard of this service.,I have heard of this service and used it.,This service greatly reduced my food insecurity.,I've never used this service.,This service greatly reduced my food insecurity.,Yes,Yes,"Yes, in an in-person meeting","Great service, reduce my monthly spending on foods significantly "
59,2/15/24 15:30:06,2/15/24 15:31:10,anonymous,,,Man,Asian;,Undocumented Student;,Chinese Studies,Graduate Student,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,This service did not reduce my food insecurity.,I've never used this service.,No,,,
60,2/15/24 15:37:35,2/15/24 15:42:34,anonymous,,,Man,Asian;,International Student;,Visual Arts,1st year,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,No
61,2/15/24 15:55:12,2/15/24 15:56:12,anonymous,,,Man,Asian;,Transfer Student;,Mathematics,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I have heard of this service and used it.,I've never used this service.,I've never used this service.,This service did not reduce my food insecurity.,Yes,No,No,
62,2/15/24 16:13:51,2/15/24 16:14:49,anonymous,,,Man,Asian;,Transfer Student;,Economics,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",This service did not reduce my food insecurity.,I've never used this service.,This service did not reduce my food insecurity.,No,,,
63,2/15/24 16:12:56,2/15/24 16:15:24,anonymous,,,Woman,Asian;,,Computer Science and Engineering,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,Yes,Yes,"Yes, through the assistance form or email",
64,2/15/24 16:22:24,2/15/24 16:23:21,anonymous,,,Man,Asian;,International Student;,Electrical and Computer Engineering,2nd year,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,This service did not reduce my food insecurity.,This service did not reduce my food insecurity.,This service did not reduce my food insecurity.,No,,,
65,2/15/24 16:32:25,2/15/24 16:33:40,anonymous,,,Woman,Asian;,Transfer Student;International Student;,Computer Science and Engineering,3rd year ,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
66,2/15/24 16:53:33,2/15/24 16:54:24,anonymous,,,Man,Asian;,Transfer Student;,,4th year,I've never heard of this service.,I have heard of this service and used it.,I've never heard of this service.,I've never heard of this service.,This service did not reduce my food insecurity.,I've never used this service.,I've never used this service.,No,,,no
67,2/15/24 17:12:04,2/15/24 17:13:31,anonymous,,,Woman,Asian;,Transfer Student;International Student;,Computer Science and Engineering,Graduate Student,I've never heard of this service.,,,,I've never used this service.,,,Yes,Yes,"Yes, from the website",
68,2/15/24 17:05:24,2/15/24 17:15:37,anonymous,,,Man,Asian;,LGBTQIA+;First Generation Student;,Other,3rd year ,I've never heard of this service.,"I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
69,2/15/24 17:15:58,2/15/24 17:16:52,anonymous,,,Man,White;,,NanoEngineering,Graduate Student,"I have heard of this service, but never used it.",I have heard of this service and used it.,I have heard of this service and used it.,"I have heard of this service, but never used it.",This service did not reduce my food insecurity.,This service somewhat reduced my food insecurity.,I've never used this service.,No,,,
70,2/15/24 17:44:39,2/15/24 17:45:45,anonymous,,,Woman,Asian;White;,,International Studies,4th year,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
71,2/15/24 18:13:32,2/15/24 18:14:32,anonymous,,,Man,Asian;,Transfer Student;First Generation Student;LGBTQIA+;,Psychology,4th year,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
72,2/15/24 18:21:26,2/15/24 18:23:05,anonymous,,,Man,Asian;,First Generation Student;,Cognitive Science,4th year,"I have heard of this service, but never used it.",I have heard of this service and used it.,"I have heard of this service, but never used it.",I have heard of this service and used it.,This service somewhat reduced my food insecurity.,I've never used this service.,This service somewhat reduced my food insecurity.,Yes,Yes,No,
73,2/15/24 18:37:06,2/15/24 18:37:51,anonymous,,,Man,Asian;,International Student;,Computer Science and Engineering,4th year,"I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
74,2/15/24 21:08:17,2/15/24 21:09:40,anonymous,,,Woman,Asian;,Undocumented Student;,Computer Science and Engineering,3rd year ,"I have heard of this service, but never used it.",I have heard of this service and used it.,I have heard of this service and used it.,I've never heard of this service.,I was not food insecure when I used this service.,I was not food insecure when I used this service.,I've never used this service.,No,,,
75,2/15/24 21:08:47,2/15/24 21:10:45,anonymous,,,Woman,Asian;,LGBTQIA+;,Cognitive Science,3rd year ,"I have heard of this service, but never used it.",I have heard of this service and used it.,I have heard of this service and used it.,"I have heard of this service, but never used it.",This service somewhat reduced my food insecurity.,This service greatly reduced my food insecurity.,I've never used this service.,Yes,No,No,
76,2/15/24 21:24:43,2/15/24 21:25:40,anonymous,,,Woman,Asian;,LGBTQIA+;,Data Science,4th year,"I have heard of this service, but never used it.",I have heard of this service and used it.,I have heard of this service and used it.,"I have heard of this service, but never used it.",I was not food insecure when I used this service.,I was not food insecure when I used this service.,I've never used this service.,No,,,
77,2/15/24 23:00:02,2/15/24 23:00:49,anonymous,,,Woman,Asian;,Transfer Student;International Student;First Generation Student;,Cognitive Science,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
78,2/16/24 9:06:35,2/16/24 9:08:02,anonymous,,,Man,Asian;,Transfer Student;,Computer Science and Engineering,4th year,"I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,Yes,Yes,No,
79,2/16/24 9:40:59,2/16/24 9:41:42,anonymous,,,Woman,Asian;Hispanic or Latino;,LGBTQIA+;,Data Science,3rd year ,I've never heard of this service.,"I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
80,2/16/24 10:23:06,2/16/24 10:24:35,anonymous,,,Woman,Asian;,Transfer Student;First Generation Student;,Computer Science and Engineering,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
81,2/16/24 11:05:06,2/16/24 11:07:57,anonymous,,,Man,Asian;,Transfer Student;,Data Science,3rd year ,I've never heard of this service.,I have heard of this service and used it.,I've never heard of this service.,I've never heard of this service.,This service somewhat reduced my food insecurity.,I've never used this service.,I've never used this service.,No,,,
82,2/16/24 12:00:52,2/16/24 12:01:43,anonymous,,,Man,Asian;,Transfer Student;International Student;,Computer Science and Engineering,5+ year,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,I don't know anything about it
83,2/16/24 12:31:05,2/16/24 12:32:38,anonymous,,,Man,Asian;,,Computer Science and Engineering,2nd year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
84,2/16/24 13:19:01,2/16/24 13:20:57,anonymous,,,Woman,Asian;,International Student;,Data Science,3rd year ,I've never heard of this service.,I have heard of this service and used it.,I've never heard of this service.,I've never heard of this service.,This service somewhat reduced my food insecurity.,I've never used this service.,I've never used this service.,No,,,
85,2/16/24 13:58:03,2/16/24 13:58:54,anonymous,,,Woman,White;,,Scripps Institution of Oceanography (SIO),3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
86,2/16/24 14:21:45,2/16/24 14:23:09,anonymous,,,Woman,Asian;,Transfer Student;,Data Science,1st year,"I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,This service did not reduce my food insecurity.,This service did not reduce my food insecurity.,No,,,
87,2/16/24 14:47:27,2/16/24 14:48:08,anonymous,,,Man,Asian;,,Computer Science and Engineering,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
88,2/16/24 15:34:30,2/16/24 15:35:58,anonymous,,,Woman,Asian;,First Generation Student;,Data Science,2nd year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,This service did not reduce my food insecurity.,Yes,No,"Yes, through the assistance form or email",
89,2/16/24 18:05:36,2/16/24 18:06:12,anonymous,,,Woman,Asian;,,Cognitive Science,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
90,2/16/24 18:14:07,2/16/24 18:15:35,anonymous,,,Woman,White;,,Computer Science and Engineering,4th year,I have heard of this service and used it.,I have heard of this service and used it.,I have heard of this service and used it.,I have heard of this service and used it.,This service somewhat reduced my food insecurity.,This service somewhat reduced my food insecurity.,This service greatly reduced my food insecurity.,Yes,Yes,"Yes, through the assistance form or email",
91,2/17/24 1:05:43,2/17/24 1:06:49,anonymous,,,Woman,White;Hispanic or Latino;,LGBTQIA+;,Cognitive Science,3rd year ,"I have heard of this service, but never used it.",I have heard of this service and used it.,I've never heard of this service.,"I have heard of this service, but never used it.",This service somewhat reduced my food insecurity.,I've never used this service.,I've never used this service.,No,,,
